K_values,Eigenvalues
0.123,0.012633800691891014 - 0.004718821540441098im
0.124,0.012745939645536712 - 0.004729943500338211im
0.125,0.012857965360651336 - 0.004741152270519677im
0.126,0.012969879782879112 - 0.0047524487086061384im
0.127,0.013081685063752313 - 0.004763831480518554im
0.128,0.013193383612163045 - 0.004775301443873126im
0.129,0.013304976859035379 - 0.004786858074575869im
0.13,0.013416467347087747 - 0.004798500872346049im
0.131,0.013527856157233734 - 0.004810231052141134im
0.132,0.013639145379239385 - 0.004822047637236082im
0.133,0.013750337133753402 - 0.0048339495555978825im
0.134,0.013861432182562193 - 0.004845939689783603im
0.135,0.013972432913969728 - 0.004858015466936945im
0.136,0.014083340254472337 - 0.004870177458801983im
0.137,0.014194155897501021 - 0.004882425177011563im
0.138,0.014304881407806419 - 0.004894759121844316im
0.139,0.01441551780453632 - 0.0049071793647701865im
0.14,0.014526066745089198 - 0.004919685429330152im
0.141,0.014636529047872302 - 0.004932277923008677im
0.142,0.014746906658528389 - 0.0049449554164334945im
0.143,0.01485719998883458 - 0.0049577186481175595im
0.144,0.01496741088149027 - 0.004970567475120813im
0.145,0.015077539614444902 - 0.004983501182755745im
0.146,0.015187587948043191 - 0.004996522010373994im
0.147,0.015297556492228087 - 0.005009627545910759im
0.148,0.015407446629025167 - 0.0050228183789789325im
0.149,0.015517259014703013 - 0.005036093919969886im
0.15,0.01562699462465659 - 0.00504945522303597im
0.151,0.015736654447150035 - 0.005062901573500156im
0.152,0.015846239285147626 - 0.005076432685486587im
0.153,0.015955750065146504 - 0.005090048273119585im
0.154,0.01606518730186632 - 0.005103749551361651im
0.155,0.016174552168870666 - 0.005117534876441887im
0.156,0.01628384546912413 - 0.005131404891573687im
0.157,0.016393067429102442 - 0.005145359954101636im
0.158,0.016502219222370225 - 0.005159398634655155im
0.159,0.016611301404824846 - 0.005173522076733228im
0.16,0.01672031453236382 - 0.005187729994455737im
0.161,0.016829259222653145 - 0.005202022387826588im
0.162,0.016938136391894947 - 0.005216397922769733im
0.163,0.017046946369510256 - 0.00523085812393953im
0.164,0.017155689711397623 - 0.005245401847848541im
0.165,0.01726436726169913 - 0.005260030142697225im
0.166,0.017372979277774057 - 0.005274742055569525im
0.167,0.017481526377287747 - 0.005289537443533198im
0.168,0.017590009301436994 - 0.005304415591902334im
0.169,0.017698428122284702 - 0.005319378287385786im
0.17,0.017806783735443466 - 0.005334424029152807im
0.171,0.017915076357095484 - 0.005349552745727948im
0.172,0.018023306409312094 - 0.005364765366204694im
0.173,0.0181314744994636 - 0.005380060556503974im
0.174,0.01823958084373261 - 0.0053954390313126765im
0.175,0.018347625802423682 - 0.005410900719159321im
0.176,0.01845561047703879 - 0.005426444381258684im
0.177,0.018563534126380836 - 0.005442071446983832im
0.178,0.0186713981298998 - 0.005457781130176957im
0.179,0.018779202137586378 - 0.005473573002027976im
0.18,0.018886946767104947 - 0.0054894474198771805im
0.181,0.0189946323478774 - 0.0055054050269452755im
0.182,0.01910225941521336 - 0.005521443750645598im
0.183,0.019209827835283747 - 0.005537564758298401im
0.184,0.01931733814339989 - 0.00555376831194702im
0.185,0.019424790668982006 - 0.005570053768386529im
0.186,0.01953218582380619 - 0.005586421032317368im
0.187,0.01963952372111192 - 0.005602869484351203im
0.188,0.01974680436089843 - 0.005619400410915532im
0.189,0.019854028484364163 - 0.0056360129543927325im
0.19,0.01996119602974239 - 0.005652706685969911im
0.191,0.020068307408808713 - 0.00566948172476156im
0.192,0.02017536244655926 - 0.005686338499580519im
0.193,0.020282362048901468 - 0.0057032759145778655im
0.194,0.020389305927592867 - 0.005720294636788204im
0.195,0.020496194504703497 - 0.005737394237402782im
0.196,0.02060302786258809 - 0.005754574311438177im
0.197,0.020709806052720322 - 0.0057718363835449855im
0.198,0.020816529847179473 - 0.005789178166743803im
0.199,0.02092319891654533 - 0.00580660051864849im
0.2,0.021029813425528295 - 0.005824102915161511im
0.201,0.02113637362119431 - 0.005841686428307113im
0.202,0.02124287983296453 - 0.005859349986059037im
0.203,0.021349331999072227 - 0.005877094160164731im
0.204,0.021455730593060163 - 0.005894917592729125im
0.205,0.021562075244330115 - 0.005912821355768827im
0.206,0.0216683666940795 - 0.005930804377265097im
0.207,0.021774604406999232 - 0.005948868300986732im
0.208,0.021880789227230208 - 0.005967011102002928im
0.209,0.021986920547403033 - 0.005985233757038966im
0.21,0.022092999139597662 - 0.006003535194078679im
0.211,0.02219902470527735 - 0.006021916937769174im
0.212,0.02230499772827848 - 0.006040377153767018im
0.213,0.022410917961535652 - 0.0060589163423438565im
0.214,0.022516785456520735 - 0.006077535075249478im
0.215,0.022622600789720785 - 0.006096231804000762im
0.216,0.022728363518475816 - 0.006115007981789026im
0.217,0.022834073900146915 - 0.006133862893929957im
0.218,0.022939732243565828 - 0.006152796540425776im
0.219,0.02304533836858066 - 0.006171807670575309im
0.22,0.023150892661231534 - 0.006190897535079583im
0.221,0.023256394941366446 - 0.006210066074375427im
0.222,0.02336184515236555 - 0.0062293124427601045im
0.223,0.02346724374718398 - 0.006248636854638463im
0.224,0.023572590272867077 - 0.006268039095599291im
0.225,0.023677885480907223 - 0.006287518641551267im
0.226,0.023783128702167044 - 0.00630707680273801im
0.227,0.02388832062637255 - 0.006326711720987177im
0.228,0.02399346088292458 - 0.0063464243253841994im
0.229,0.02409854960565124 - 0.006366214592108221im
0.23,0.024203587021028664 - 0.006386081306196593im
0.231,0.02430857319082448 - 0.00640602503939632im
0.232,0.024413507713555296 - 0.006426046363454496im
0.233,0.02451839090834856 - 0.006446144778092429im
0.234,0.024623223042858546 - 0.006466319520983177im
0.235,0.02472800381854802 - 0.00648657099710966im
0.236,0.024832733431010286 - 0.0065068995638160486im
0.237,0.024937411787596536 - 0.006527303505858661im
0.238,0.025042039022132662 - 0.006547784276430176im
0.239,0.025146615371391273 - 0.006568340612926438im
0.24,0.025251140433889492 - 0.00658897330149113im
0.241,0.02535561432286639 - 0.006609683056816233im
0.242,0.02546003704861674 - 0.006630467568084697im
0.243,0.025564409084681924 - 0.006651327692920243im
0.244,0.02566872972075013 - 0.006672263764840943im
0.245,0.02577299950242268 - 0.006693275593260643im
0.246,0.02587721835763963 - 0.006714362034694154im
0.247,0.02598138619375155 - 0.006735523899109512im
0.248,0.02608550299016903 - 0.006756761091217633im
0.249,0.026189568849836944 - 0.0067780730869174315im
0.25,0.02629358343303936 - 0.006799460362664285im
0.251,0.02639754738832396 - 0.006820921989367612im
0.252,0.02650146021126463 - 0.006842458419660779im
0.253,0.026605322138633047 - 0.006864069034155662im
0.254,0.026709133046896216 - 0.006885754690466328im
0.255,0.02681289286399323 - 0.006907514626269151im
0.256,0.02691660190905168 - 0.006929348103052717im
0.257,0.027020259657054395 - 0.006951256121375771im
0.258,0.02712386650948524 - 0.006973237799797379im
0.259,0.02722742247663848 - 0.0069952935433019725im
0.26,0.027330927404097243 - 0.007017422494268466im
0.261,0.027434381168972233 - 0.007039625443322817im
0.262,0.027537784016399978 - 0.007061901495611256im
0.263,0.027641135845365903 - 0.007084250974236224im
0.264,0.02774443642531713 - 0.007106673747672352im
0.265,0.027847685859199348 - 0.007129169935040203im
0.266,0.027950884270544585 - 0.007151738774004812im
0.267,0.028054031734845216 - 0.007174379891342249im
0.268,0.028157128056507972 - 0.007197093977916384im
0.269,0.02826017300905551 - 0.007219880843143844im
0.27,0.028363166818964745 - 0.007242740201149544im
0.271,0.028466109352408085 - 0.007265672123401856im
0.272,0.02856900078439154 - 0.007288675728461443im
0.273,0.028671840878141966 - 0.0073117515642485325im
0.274,0.028774629726311052 - 0.007334899273418749im
0.275,0.02887736719507014 - 0.007358119070386237im
0.276,0.02898005351089661 - 0.007381410264281296im
0.277,0.0290826883855471 - 0.007404773164803628im
0.278,0.029185271757254244 - 0.007428207843422641im
0.279,0.029287803790730142 - 0.007451713656920589im
0.28,0.02939028448597329 - 0.007475290319423511im
0.281,0.029492713503269756 - 0.007498938545618649im
0.282,0.02959509112056711 - 0.007522657477885097im
0.283,0.0296974171834494 - 0.007546447235332228im
0.284,0.029799691856628053 - 0.0075703076750251634im
0.285,0.029901914707737308 - 0.007594238511092399im
0.286,0.030004086086787063 - 0.00761823988646988im
0.287,0.030106205705533618 - 0.007642311872623963im
0.288,0.030208273749277682 - 0.007666453326062595im
0.289,0.03031029003271766 - 0.007690665676151909im
0.29,0.030412254370555725 - 0.00771494749352879im
0.291,0.03051416694809117 - 0.007739299921680498im
0.292,0.030616027888856513 - 0.007763720816560138im
0.293,0.030717836811958287 - 0.00778821184576121im
0.294,0.03081959393358022 - 0.00781277202063757im
0.295,0.030921298975771477 - 0.007837401877202943im
0.296,0.031022952010594445 - 0.007862100927092363im
0.297,0.03112455317187599 - 0.007886868491350452im
0.298,0.031226102140489206 - 0.007911705308487468im
0.299,0.0313275991017336 - 0.007936611092632972im
0.3,0.03142904382913237 - 0.00796158508145144im
0.301,0.031530436353568496 - 0.00798662777522526im
0.302,0.031631776891224324 - 0.008011738888078313im
0.303,0.03173306500973497 - 0.008036918062670395im
0.304,0.03183430088410515 - 0.008062165227531892im
0.305,0.03193548424668041 - 0.008087481002058214im
0.306,0.03203661541980496 - 0.008112864247222018im
0.307,0.03213769432176615 - 0.008138314854326544im
0.308,0.03223872025190061 - 0.008163834266142977im
0.309,0.03233969415407721 - 0.008189419762405236im
0.31,0.032440615317982355 - 0.008215073344232948im
0.311,0.03254148398038635 - 0.008240794106350969im
0.312,0.03264229977069112 - 0.008266581905831138im
0.313,0.032743063121262087 - 0.00829243659973038im
0.314,0.03284377378503288 - 0.008318357902179052im
0.315,0.03294443167964869 - 0.008344346170515346im
0.316,0.03304503668157567 - 0.008370400618593444im
0.317,0.03314558881140315 - 0.008396521675214577im
0.318,0.03324608831619771 - 0.008422709125980235im
0.319,0.03334653449593863 - 0.008448963161470443im
0.32,0.03344692776240254 - 0.008475282638191573im
0.321,0.033547268218533106 - 0.008501668008776164im
0.322,0.033647555637853835 - 0.008528119225581322im
0.323,0.033747789876243 - 0.008554635978909412im
0.324,0.03384797087193346 - 0.008581218173463098im
0.325,0.03394809869698666 - 0.008607865999832764im
0.326,0.034048173526408425 - 0.008634578552750582im
0.327,0.03414819481459354 - 0.00866135704717479im
0.328,0.03424816289096298 - 0.008688199696400853im
0.329,0.03434807746727422 - 0.008715107905969077im
0.33,0.03444793885235952 - 0.00874207988917668im
0.331,0.034547746675619655 - 0.008769117099203073im
0.332,0.034647500911318914 - 0.008796218523590435im
0.333,0.03474720164695983 - 0.008823384555408431im
0.334,0.03484684895974999 - 0.008850613943964625im
0.335,0.034946442453354674 - 0.008877907725547729im
0.336,0.03504598221012989 - 0.00890526597162502im
0.337,0.035145468456551594 - 0.008932687371945006im
0.338,0.03524490088378838 - 0.008960172569722858im
0.339,0.03534427930654029 - 0.008987721207615883im
0.34,0.03544360417776162 - 0.009015333166510864im
0.341,0.03554287476912272 - 0.009043008464272528im
0.342,0.035642091731745144 - 0.009070746570847868im
0.343,0.035741254640984765 - 0.00909854782570978im
0.344,0.035840363339850516 - 0.009126412115699386im
0.345,0.035939418219531706 - 0.009154338630838765im
0.346,0.03603841886825084 - 0.009182328038173685im
0.347,0.03613736525512535 - 0.009210379623013853im
0.348,0.03623625756545416 - 0.00923849381416968im
0.349,0.03633509571688155 - 0.009266669372860293im
0.35,0.036433879390281566 - 0.009294907109056182im
0.351,0.03653260883271982 - 0.009323207308633386im
0.352,0.03663128379713113 - 0.009351568971031909im
0.353,0.036729904396752465 - 0.009379992477423382im
0.354,0.03682847053893493 - 0.009408477256051918im
0.355,0.036926982174780416 - 0.009437023038915507im
0.356,0.037025439245095416 - 0.009465630105929im
0.357,0.03712384158259641 - 0.0094942985583469im
0.358,0.037222189349419496 - 0.009523028140065115im
0.359,0.037320482504389095 - 0.009551817874350702im
0.36,0.037418721068090674 - 0.00958066807090514im
0.361,0.03751690480375529 - 0.009609579039421768im
0.362,0.03761503344372767 - 0.009638551041948062im
0.363,0.03771310760567214 - 0.009667582649121976im
0.364,0.03781112678516279 - 0.009696673956230454im
0.365,0.03790909093072822 - 0.009725825797072632im
0.366,0.03800699984677333 - 0.00975503755225852im
0.367,0.03810485420243556 - 0.009784308745327763im
0.368,0.03820265315357278 - 0.009813639614508495im
0.369,0.03830039712225609 - 0.009843029921575486im
0.37,0.0383980862011358 - 0.00987247895184377im
0.371,0.03849571969019103 - 0.009901987896453543im
0.372,0.03859329807325948 - 0.00993155582631573im
0.373,0.03869082137092998 - 0.00996118226497451im
0.374,0.03878828939790322 - 0.009990867307719734im
0.375,0.03888570181446369 - 0.010020611097487375im
0.376,0.03898305900150413 - 0.010050413229292824im
0.377,0.03908036080460906 - 0.01008027427488282im
0.378,0.03917760688406206 - 0.010110193019290215im
0.379,0.039274797661934466 - 0.010140169724572701im
0.38,0.03937193297351545 - 0.010170204748065358im
0.381,0.03946901242761778 - 0.010200297589496365im
0.382,0.039566036538962526 - 0.010230447129189635im
0.383,0.03966300485459449 - 0.010260655630310941im
0.384,0.039759917477457864 - 0.010290920115015348im
0.385,0.03985677438696424 - 0.010321243060865548im
0.386,0.039953575438991674 - 0.010351622157053875im
0.387,0.04005032108649451 - 0.010382058165912719im
0.388,0.040147010341209544 - 0.010412551659188196im
0.389,0.04024364381050637 - 0.010443101588674342im
0.39,0.04034022155615127 - 0.01047370781143897im
0.391,0.040436743269312625 - 0.010504370541883645im
0.392,0.040533208970578806 - 0.010535089803831176im
0.393,0.04062961864965579 - 0.010565864954063819im
0.394,0.04072597218300972 - 0.01059669627845956im
0.395,0.040822269879474404 - 0.010627583062334623im
0.396,0.040918511069912504 - 0.010658525805962901im
0.397,0.04101469623816011 - 0.010689524509353898im
0.398,0.04111082522980295 - 0.010720578171938656im
0.399,0.04120689809631174 - 0.010751687365470986im
0.4,0.04130291440238061 - 0.010782851722396966im
0.401,0.04139887447595972 - 0.010814070939826928im
0.402,0.041494778194987425 - 0.010845345511234998im
0.403,0.041590625397694016 - 0.010876674636854045im
0.404,0.04168641654732707 - 0.01090805784022549im
0.405,0.04178215109975507 - 0.010939496159348496im
0.406,0.04187782893732594 - 0.010970988505179117im
0.407,0.04197345053799594 - 0.011002535252072102im
0.408,0.04206901535469 - 0.011034136338772172im
0.409,0.04216452367565159 - 0.011065791264996783im
0.41,0.04225997531558148 - 0.011097499959284255im
0.411,0.042355370691403355 - 0.011129261742678764im
0.412,0.04245070904647758 - 0.011161077508536543im
0.413,0.04254599074625549 - 0.011192946839959462im
0.414,0.04264121555911431 - 0.011224869200936283im
0.415,0.04273638350564138 - 0.011256844948809222im
0.416,0.04283149491525928 - 0.01128887339271234im
0.417,0.042926549499722744 - 0.011320954842343708im
0.418,0.04302154736197657 - 0.011353088654490761im
0.419,0.04311648780200121 - 0.01138527573441479im
0.42,0.04321137169482148 - 0.011417514628929482im
0.421,0.04330619857718894 - 0.011449806124186068im
0.422,0.0434009684799868 - 0.011482150005779169im
0.423,0.043495681248798455 - 0.011514545344619442im
0.424,0.0435903370689235 - 0.011546992998327888im
0.425,0.043684935816829015 - 0.0115794922522225im
0.426,0.04377947743074877 - 0.011612043249235881im
0.427,0.043873961957007546 - 0.011644645390824548im
0.428,0.04396838925663053 - 0.011677299186194468im
0.429,0.04406275923182138 - 0.011710004507301974im
0.43,0.04415707205243709 - 0.011742760523331874im
0.431,0.04425132804789897 - 0.011775567472503745im
0.432,0.04434552654907073 - 0.011808425068949338im
0.433,0.0444396674530081 - 0.011841333407958565im
0.434,0.04453375148031973 - 0.011874292823050503im
0.435,0.044627777550092514 - 0.011907302313665546im
0.436,0.04472174669176803 - 0.011940362213325706im
0.437,0.04481565834944755 - 0.011973471807344715im
0.438,0.04490951287314089 - 0.012006631143375125im
0.439,0.045003309583416855 - 0.01203984136490117im
0.44,0.045097048933230195 - 0.012073100542278947im
0.441,0.04519073091228551 - 0.012106409819006458im
0.442,0.045284355057335815 - 0.012139768480396818im
0.443,0.04537792211987193 - 0.01217317595470373im
0.444,0.0454714312454581 - 0.012206632742206302im
0.445,0.045564882928225636 - 0.012240138699968029im
0.446,0.045658276900520274 - 0.012273693875634114im
0.447,0.0457516132961694 - 0.012307297483050483im
0.448,0.0458448920070811 - 0.012340949843826544im
0.449,0.045938113069287044 - 0.012374650660177622im
0.45,0.04603127643646159 - 0.012408399419914673im
0.451,0.04612438221669596 - 0.012442196873451116im
0.452,0.04621742987468022 - 0.012476043068435713im
0.453,0.04631042012072973 - 0.012509936003755643im
0.454,0.046403352563657026 - 0.012543877656701063im
0.455,0.04649622704904489 - 0.012577866955242397im
0.456,0.04658904367983841 - 0.012611902946475517im
0.457,0.04668180278325227 - 0.012645987068270057im
0.458,0.046774503542351784 - 0.012680118461307543im
0.459,0.04686714674833518 - 0.012714296972438177im
0.46,0.04695973186295273 - 0.012748522438305798im
0.461,0.047052259581076304 - 0.012782794823176147im
0.462,0.04714472892988526 - 0.012817113948383429im
0.463,0.04723714003291131 - 0.012851480099793377im
0.464,0.04732949356958647 - 0.012885892133917842im
0.465,0.047421789179605954 - 0.012920350431918118im
0.466,0.04751402674973084 - 0.012954855494074971im
0.467,0.047606206032896094 - 0.012989406176894213im
0.468,0.04769832719381186 - 0.013024003195055181im
0.469,0.0477903906082241 - 0.013058646091963352im
0.47,0.04788239591068113 - 0.01309333409336677im
0.471,0.04797434302397554 - 0.013128068449971053im
0.472,0.04806623228267517 - 0.01316284783166551im
0.473,0.04815806327500285 - 0.013197672357566859im
0.474,0.04824983579507165 - 0.013232542170608852im
0.475,0.04834155061496129 - 0.013267456722868035im
0.476,0.04843320706553603 - 0.013302416204928372im
0.477,0.048524805486511044 - 0.013337420759724595im
0.478,0.04861634547640439 - 0.01337247036343614im
0.479,0.04870782738522575 - 0.013407563562872227im
0.48,0.048799251079147205 - 0.013442701763574169im
0.481,0.04889061642434299 - 0.013477883893522068im
0.482,0.048981923873766015 - 0.013513110048002819im
0.483,0.04907317256268631 - 0.013548380417598871im
0.484,0.04916436339701153 - 0.013583694382917658im
0.485,0.049255495810549915 - 0.01361905206307501im
0.486,0.049346569854772655 - 0.013654453338955097im
0.487,0.049437585828217605 - 0.01368989832967138im
0.488,0.04952854329852033 - 0.013725386439654782im
0.489,0.04961944254362897 - 0.0137609176689093im
0.49,0.04971028321353458 - 0.013796491540972214im
0.491,0.04980106545235791 - 0.01383210915169677im
0.492,0.0498917897027602 - 0.013867769238474548im
0.493,0.04998245547060742 - 0.01390347211099563im
0.494,0.05007306292061146 - 0.0139392169116479im
0.495,0.05016361190865072 - 0.013975004355111054im
0.496,0.05025410245531355 - 0.014010834084043022im
0.497,0.050344534874580134 - 0.014046706175019352im
0.498,0.05043490871864272 - 0.014082619755099657im
0.499,0.05052522394889839 - 0.014118575345838824im
0.5,0.05061548088704596 - 0.014154573472188403im
0.501,0.05070567964889835 - 0.014190612079427466im
0.502,0.050795819578187275 - 0.014226692948312802im
0.503,0.05088590099403913 - 0.014262814744769692im
0.504,0.050975924267051956 - 0.014298977897604282im
0.505,0.051065889098689594 - 0.014335181978010425im
0.506,0.05115579549924499 - 0.014371427176570547im
0.507,0.051245642964292286 - 0.014407712993001809im
0.508,0.051335432471800994 - 0.014444039784650364im
0.509,0.051425163249689314 - 0.01448040707505971im
0.51,0.05151483565826292 - 0.014516814506882803im
0.511,0.05160444933721639 - 0.014553262556580885im
0.512,0.05169400469832642 - 0.014589750866807805im
0.513,0.05178350158717742 - 0.01462627908022851im
0.514,0.05187293990082517 - 0.014662847196838413im
0.515,0.05196231986574573 - 0.014699454644887311im
0.516,0.05205164116281278 - 0.014736102496406289im
0.517,0.05214090380232166 - 0.014772790012887782im
0.518,0.052230108265534696 - 0.014809516104434964im
0.519,0.052319253973392585 - 0.014846282182551995im
0.52,0.052408341350539074 - 0.014883087312193233im
