K_values,Eigenvalues
0.049,7.720807326805397e-11 - 0.8904500711235797im
0.049,7.720807326805397e-11 - 0.8904500827371944im
0.049,0.7733208804151734 - 0.6459324447813203im
0.05,0.7733459671940182 - 0.6459135476463728im
0.05,0.7733459513308454 - 0.6459135480513927im
0.05,1.3235669703094966e-10 - 0.8904107251409082im
0.05,7.720807326805397e-11 - 0.000833408366577082im
0.05,1.7372111157006594e-10 - 0.8904107179205109im
0.051,0.7733715484306138 - 0.6458942768910266im
0.051,7.720807326805397e-11 - 0.0008670812387827631im
0.051,7.169325450766894e-11 - 0.8903705538386119im
0.051,2.5736079933835886e-11 - 0.8903705082647442im
0.051,7.72081287792052e-11 - 0.8903705269145934im
0.051,6.434011101674775e-11 - 0.8903705179989103im
0.051,0.7733715431697166 - 0.6458942868950033im
0.051,0.7733715661629049 - 0.6458942694107238im
0.052,1.2353291722888634e-10 - 0.8903295462080045im
0.052,1.2353291722888634e-10 - 0.8903295605016858im
0.052,1.2353291722888634e-10 - 0.0009014210540890133im
0.052,0.7733976430144927 - 0.6458746294556952im
0.052,0.7733976537496855 - 0.645874622791595im
0.053,0.7734242447791301 - 0.6458545984431959im
0.053,0.773424270644276 - 0.6458545824552501im
0.053,1.2353291722888634e-10 - 0.000936427848230359im
0.053,6.176645861444317e-11 - 0.890287776216329im
0.054,0.7734513766722985 - 0.6458341763493723im
0.054,1.3235669703094966e-10 - 0.8902452157637397im
0.054,1.7157349615123104e-10 - 0.8902452217875043im
0.054,1.2353291722888634e-10 - 0.0009721018713435114im
0.055,0.7734789924845529 - 0.6458133804265199im
0.055,7.720807326805397e-11 - 0.001008443051962793im
0.055,7.720807326805397e-11 - 0.8902018715580571im
0.056,1.1230265202626032e-10 - 0.8901577193232346im
0.056,1.7647559604126622e-10 - 0.8901576884154709im
0.056,1.2353291722888634e-10 - 0.0010454514615542364im
0.056,0.773507109675304 - 0.6457922071886795im
0.056,7.720807326805397e-11 - 0.8901577298160932im
0.056,0.7735071219928523 - 0.6457922031267638im
0.057,0.7735357382787691 - 0.6457706526869083im
0.057,0.7735357481333485 - 0.6457706456466067im
0.057,0.7735357625574026 - 0.6457706377696374im
0.057,1.852993758433295e-10 - 0.0010831264569043596im
0.057,8.823779802063311e-11 - 0.890112748065194im
0.057,6.948730479905443e-11 - 0.8901127630488849im
0.058,0.7735648995288256 - 0.6457487027389555im
0.058,7.720807326805397e-11 - 0.0011214687169605053im
0.058,1.852993758433295e-10 - 0.8900669595892193im
0.058,7.720807326805397e-11 - 0.8900669564624774im
0.059,0.7735945313943728 - 0.6457263847247305im
0.059,1.852993758433295e-10 - 0.0011604781345186054im
0.059,1.7647559604126622e-10 - 0.8900204353971208im
0.059,7.720807326805397e-11 - 0.8900204318747504im
0.059,7.720807326805397e-11 - 0.8900204447390623im
0.059,3.86040643896026e-11 - 0.8900204593007486im
0.059,0.7735945648365972 - 0.6457263740702505im
0.06,0.7736247031266429 - 0.6457036696918557im
0.06,7.720807326805397e-11 - 0.0012001556029415106im
0.06,6.176645861444317e-11 - 0.889973077985595im
0.061,0.7736553678479763 - 0.645680592765585im
0.061,1.7647559604126622e-10 - 0.889924964336304im
0.061,1.5441614653610794e-10 - 0.0012404993355112914im
0.062,0.773686536555939 - 0.6456571269717628im
0.062,7.720807326805397e-11 - 0.0012815107616019894im
0.062,3.6421701911736445e-11 - 0.8898759842891097im
0.062,3.5744429638384834e-11 - 0.8898759982207454im
0.062,0.7736865425731888 - 0.6456571182424848im
0.062,0.7736865370506213 - 0.645657118692208im
0.062,4.153887760076891e-11 - 0.8898760235361274im
0.062,0.7736865362200713 - 0.6456571304612299im
0.063,0.7737182121829135 - 0.6456332798834991im
0.063,0.7737181873658743 - 0.6456332898469165im
0.063,1.389745651891879e-10 - 0.8898262554149842im
0.063,1.2353291722888634e-10 - 0.0013231889521190254im
0.063,1.2353291722888634e-10 - 0.889826276176555im
0.063,1.758628798143045e-11 - 0.8898262007446374im
0.063,2.5299022136475114e-11 - 0.8898262382831378im
0.064,0.7737503964990825 - 0.6456090507875246im
0.064,8.364213766043393e-11 - 0.8897757514578675im
0.064,1.0637557501525007e-10 - 0.8897757358926457im
0.064,6.4340199834589716e-12 - 0.8897757075941376im
0.064,7.720807326805397e-11 - 0.001365534907623367im
0.064,2.287649082512024e-11 - 0.8897757181605424im
0.064,6.4340199834589716e-12 - 0.8897757155449979im
0.064,0.7737503816752617 - 0.6456090524067015im
0.064,0.7737504172222657 - 0.6456090418390305im
0.064,0.7737504179556589 - 0.6456090386246925im
0.065,1.7371817873090924e-10 - 0.8897244019045246im
0.065,0.7737830868811185 - 0.6455844474210435im
0.065,7.720807326805397e-11 - 0.0014085474488809702im
0.065,0.7737830834839625 - 0.6455844435974851im
0.066,0.7738163022256351 - 0.6455594436683332im
0.066,9.159081826304363e-11 - 0.8896722954861648im
0.066,1.2353291722888634e-10 - 0.0014522280052673864im
0.066,0.7738162845450359 - 0.6455594547968418im
0.067,0.7738499851424463 - 0.6455340777083842im
0.067,1.2353291722888634e-10 - 0.0014965755762228028im
0.067,0.7738500168286458 - 0.6455340588407277im
0.068,0.7738842072849627 - 0.6455083229974473im
0.068,1.5441614653610794e-10 - 0.0015415899830741875im
0.068,7.72081287792052e-11 - 0.8895655919750818im
0.069,0.7739189237681794 - 0.6454821906897001im
0.069,1.5441614653610794e-10 - 0.0015872725837231538im
0.069,6.331067226028642e-11 - 0.8895110737446009im
0.069,4.632489947198361e-11 - 0.8895110617653066im
0.07,0.7739541600421671 - 0.6454556706848611im
0.07,1.2353291722888634e-10 - 0.0016336220917342104im
0.07,1.0294409769073862e-10 - 0.8894557161010993im
0.07,0.7739541436545265 - 0.6454556707020903im
0.071,0.7739898934408985 - 0.6454287758733793im
0.071,7.720807326805397e-11 - 0.0016806389001904343im
0.071,7.720807326805397e-11 - 0.8893995715988621im
0.071,1.5441614653610794e-10 - 0.8893995642733503im
0.071,0.7739899079403829 - 0.6454287688556816im
0.072,0.7740261188018659 - 0.6454015042052037im
0.072,0.7740261362006624 - 0.6454014973960621im
0.072,9.007609473125484e-11 - 0.889342708035194im
0.072,1.5441614653610794e-10 - 0.8893427353718565im
0.072,1.852993758433295e-10 - 0.0017283231520256238im
0.072,7.72081287792052e-11 - 0.8893426988336377im
0.072,7.720810657474471e-11 - 0.8893427146638893im
0.072,0.7740261117489988 - 0.645401507982503im
0.073,1.4154816208034121e-10 - 0.8892849707703514im
0.073,0.774062879893115 - 0.6453738381792216im
0.073,1.2353291722888634e-10 - 0.0017766745256285077im
0.073,0.7740629065530906 - 0.6453738305494372im
0.073,7.720807326805397e-11 - 0.8892849677329449im
0.073,0.7740628702612137 - 0.645373846654146im
0.074,0.7741001428739968 - 0.6453457967081154im
0.074,1.852993906463032e-10 - 0.8892264509563171im
0.074,2.973941463461468e-10 - 0.8892264220910248im
0.074,1.0294409769073862e-10 - 0.8892264283246565im
0.074,7.720807326805397e-11 - 0.001825694021560187im
0.075,1.852993758433295e-10 - 0.8891671448588643im
0.075,0.77413792424869 - 0.6453173769463737im
0.075,1.2353291722888634e-10 - 0.8891671298505008im
0.075,1.5441614653610794e-10 - 0.0018753802819195808im
0.075,0.7741379067044388 - 0.6453173677269521im
0.076,1.5441614653610794e-10 - 0.889107025266407im
0.076,1.6845397803939048e-10 - 0.8891069991723209im
0.076,1.1581210990208095e-10 - 0.8891069800626458im
0.076,7.720807326805397e-11 - 0.8891070220503289im
0.076,1.3725879692098484e-10 - 0.8891069837452545im
0.076,1.2353291722888634e-10 - 0.0019257347360788657im
0.076,1.852993758433295e-10 - 0.889107013206114im
0.076,0.7741761843878164 - 0.6452885684397207im
0.077,0.7742149497926468 - 0.6452593898904879im
0.077,0.7742149615907614 - 0.6452593866821246im
0.077,1.852993758433295e-10 - 0.0019767558831972564im
0.077,9.208669937699247e-11 - 0.8890461079335698im
0.077,6.605582747454297e-11 - 0.8890461036496227im
0.077,0.7742149436714306 - 0.6452593926918175im
0.078,1.5441614653610794e-10 - 0.8889843963033011im
0.078,1.5441614653610794e-10 - 0.8889844048795089im
0.078,0.7742542436798521 - 0.6452298196803338im
0.078,0.7742542528735539 - 0.645229823154797im
0.078,1.5441614653610794e-10 - 0.002028445581450544im
0.078,3.860411990075383e-11 - 0.8889843838856661im
0.078,7.720807326805397e-11 - 0.8889844173864789im
0.079,0.7742940511173834 - 0.6451998689805453im
0.079,1.852993758433295e-10 - 0.8889218271493359im
0.079,7.720807326805397e-11 - 0.8889218323307939im
0.079,1.5441614653610794e-10 - 0.0020808019012013013im
0.079,1.5441614653610794e-10 - 0.8889218680649917im
0.079,5.147212286023762e-11 - 0.8889218364402259im
0.08,0.7743343504212183 - 0.645169546484568im
0.08,0.7743343397488757 - 0.6451695499540204im
0.08,0.7743343319489421 - 0.6451695526528199im
0.08,0.7743343224857536 - 0.6451695592858105im
0.08,1.2353291722888634e-10 - 0.0021338264147427568im
0.08,1.072335553686804e-10 - 0.8888585675212992im
0.08,2.5735968911533424e-11 - 0.8888585436687193im
0.081,0.7743751534773821 - 0.6451388388581124im
0.081,1.2105463298439706e-10 - 0.8887944579725329im
0.081,0.774375144495661 - 0.645138850150982im
0.081,7.720807326805397e-11 - 0.0021875186932738266im
0.082,0.7744164756359747 - 0.6451077497099731im
0.082,1.389745651891879e-10 - 0.8887295242336452im
0.082,1.2353291722888634e-10 - 0.0022418780578401963im
0.082,2.8738567081632177e-10 - 0.8887295073254124im
0.083,1.5441614653610794e-10 - 0.002296905187393561im
0.083,1.5441614653610794e-10 - 0.8886637785237466im
0.083,0.774458289475122 - 0.6450762872007514im
0.084,0.7745006277984287 - 0.6450444301402839im
0.084,2.916750544793952e-10 - 0.8885973177367835im
0.084,1.2353291722888634e-10 - 0.002352599760324381im
0.084,0.7745006435109731 - 0.6450444202181257im
0.084,8.492893055489546e-11 - 0.888597243356047im
0.084,1.2868039966917943e-11 - 0.8885972729796983im
0.085,0.7745434727283744 - 0.6450121946926122im
0.085,1.2353291722888634e-10 - 0.002408962598523345im
0.085,7.720807326805397e-11 - 0.8885299827126278im
0.086,0.7745868245991775 - 0.6449795806569517im
0.086,1.2353291722888634e-10 - 0.0024659929515634003im
0.086,8.836036347048594e-11 - 0.8884618706105867im
0.086,0.7745868132522068 - 0.6449795865612351im
0.087,0.7746306792511665 - 0.6449465871519062im
0.087,1.6845397803939048e-10 - 0.8883929988749025im
0.087,1.2353296163780731e-10 - 0.8883929681911361im
0.087,1.2353291722888634e-10 - 0.002523690819453428im
0.087,4.913245567970353e-11 - 0.8883929623989473im
0.087,2.763208019883771e-11 - 0.8883929452516637im
0.088,0.7746750342753025 - 0.6449132111928532im
0.088,7.720807326805397e-11 - 0.0025820569526096016im
0.088,1.6845399822526366e-10 - 0.8883232424039336im
0.089,0.7747199045709963 - 0.6448794574727985im
0.089,1.852993758433295e-10 - 0.8882527026912876im
0.089,1.2353291722888634e-10 - 0.0026410905291427865im
0.089,3.8604036634026984e-11 - 0.888252732404275im
0.09,0.7747652839726284 - 0.6448453218521185im
0.09,0.7747652949446835 - 0.644845312090514im
0.09,8.685913099881804e-11 - 0.8881814119076257im
0.09,7.720807326805397e-11 - 0.002700791870660968im
0.091,0.7748111788193643 - 0.6448107993511593im
0.091,0.7748111668646023 - 0.6448108046460777im
0.091,9.26497397320726e-11 - 0.8881093330091717im
0.091,7.720807326805397e-11 - 0.0027611612273057418im
0.091,1.5441614653610794e-10 - 0.888109345266002im
0.091,4.2484936203988934e-11 - 0.888109322212402im
0.091,5.239123420811433e-11 - 0.8881092810841192im
0.091,9.926757828436347e-11 - 0.8881093161681547im
0.091,3.474354137722475e-11 - 0.8881092972541286im
0.091,2.8953006658838525e-11 - 0.8881093017521706im
0.092,0.7748575695132972 - 0.6447759025487872im
0.092,1.1581214775059315e-10 - 0.8880363864341373im
0.092,1.3511412821909444e-10 - 0.8880364157402415im
0.092,1.852993758433295e-10 - 0.002822198456140157im
0.092,1.0294413469817278e-10 - 0.8880364051539843im
0.092,9.43654783943283e-11 - 0.8880363994563658im
0.093,0.7749044862082933 - 0.6447406125909947im
0.093,4.632489947198361e-11 - 0.8879626824629965im
0.093,9.43654783943283e-11 - 0.8879626906421583im
0.093,1.5441614653610794e-10 - 0.0028839037358332487im
0.093,2.4878166193787034e-10 - 0.887962679595438im
0.093,3.86040643896026e-11 - 0.887962686661766im
0.093,3.86040643896026e-11 - 0.8879626982753812im
0.094,0.7749518829756513 - 0.6447049605600216im
0.094,1.2353291722888636e-10 - 0.8878881534512391im
0.094,0.7749518918867556 - 0.6447049635026959im
0.094,0.7749518976816061 - 0.6447049555706199im
0.094,1.2353291722888634e-10 - 0.8878881428882096im
0.094,0.7749519024271229 - 0.6447049513094776im
0.094,1.2353291722888634e-10 - 0.8878881376710155im
0.094,1.852993758433295e-10 - 0.002946276173031315im
0.094,0.7749518566927348 - 0.6447049726000279im
0.094,0.7749518728830807 - 0.6447049627780864im
0.095,0.7749998029570586 - 0.6446689187992284im
0.095,7.720807326805397e-11 - 0.003009317911786713im
0.095,1.9302021092571054e-10 - 0.88781283824421im
0.096,0.7750482325605997 - 0.6446324968279818im
0.096,0.7750482169542593 - 0.6446325003296781im
0.096,1.2353291722888634e-10 - 0.003073026950981372im
0.096,1.852993758433295e-10 - 0.8877366948470786im
0.097,0.7750971525218403 - 0.6445956982833393im
0.097,0.7750971713045708 - 0.644595691432051im
0.097,7.720807326805397e-11 - 0.003137403576494391im
0.097,7.720807326805397e-11 - 0.8876597791981631im
0.098,0.7751466033379932 - 0.6445585103969254im
